parl_const,parl_const_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4
E14001063,Aldershot,51777,5666,681,68,497,,,0.7,99.3,0,0.73,12.82,86.45,,0.41,19.8,79.79,1.17,3.96,28.63,66.23,,,11.76,88.24,0.6,3.42,31.59,64.39,,0,100,,,,3.12,96.88,,,,0.25,99.75,,,,9.99,90.01,,,,,100,,,,8.25,91.75,,,,,,0.04,99.96,,0,0.23,2.86,96.91,,,,0.85,99.15,0.15,1.32,6.75,11.45,80.32,,,,1.47,98.53,,0.8,7.24,13.48,78.47,,,,0.04,99.96,,0,0.07,1.05,98.88,,,,0.81,99.19,,0.29,3.38,13.22,83.11,,,,1.47,98.53,,,3.22,14.49,82.29,,,,,100,,,,0.04,99.96,,,,,100,,,,0.44,99.56,,,,,100,,,,0.4,99.6,2,29.04,49.93,19.03,,8.74,37.54,43.35,10.38,,27.91,43.45,20.87,7.77,,42.15,41.14,13.5,3.21,
E14001064,Aldridge-brownhills,40695,5380,693,7,413,,,1.8,98.2,1.09,4.61,28.44,65.86,,,5.24,94.76,2.02,3.61,28.86,65.51,,,71.43,28.57,0.24,2.91,38.74,58.11,,0.78,99.22,,,0,11.55,88.45,,,,2.86,97.14,,,,21.21,78.79,,,,28.57,71.43,,,,24.46,75.54,,,,,,0.38,99.62,0.05,0.37,2.15,21.7,75.72,,,0.02,0.63,99.35,0.29,0.72,3.61,24.1,71.28,,,,,100,,0.24,4.36,28.81,66.59,,,,0.15,99.85,,0.05,0.78,5.32,93.85,,,,0.3,99.7,,0.29,1.88,7.36,90.48,,,,,100,,,2.18,9.44,88.38,,,,,100,,,,0.37,99.63,,,,,100,,,,,100,,,,,100,,,,,100,0.27,6.07,16.91,37.94,38.82,0.35,4.76,12.86,34.57,47.45,5.54,30.9,26.29,31.46,5.82,6.64,24.18,27.49,30.45,11.25
E14001065,Altrincham And Sale West,45642,5159,538,19,308,,,0.23,99.77,0.01,0.67,19.91,79.4,,0.02,6.09,93.89,0.37,1.49,20.82,77.32,,5.26,10.53,84.21,0.65,2.6,16.88,79.87,,0,100,,,,6.86,93.14,,,,0.29,99.71,,,,13.38,86.62,,,,,100,,,,10.39,89.61,,,,,,0.02,99.98,,0,0.26,2.31,97.43,,,,2.23,97.77,,,2.79,8.36,88.85,,,,,100,,,1.62,3.9,94.48,,,,0.02,99.98,,,0.04,0.53,99.43,,,,2.07,97.93,,,1.3,5.39,93.31,,,,,100,,,0.65,1.95,97.4,,,,0,100,,,,0.02,99.98,,,,0.02,99.98,,,,1.49,98.51,,,,,100,,,,,100,,2.32,9.33,71.9,16.45,,4.3,22.64,57.59,15.47,0.08,14.16,43.99,40.93,0.83,1.45,22.81,45.24,29.68,0.81
E14001066,Amber Valley,45681,12464,1257,,741,0.03,0.1,14.08,85.79,1.7,7.52,48.6,42.18,0.01,0.3,11.87,87.81,2.23,5.73,47.26,44.79,,,,,0.4,3.51,45.88,50.2,,53.72,46.28,,,0.05,82.16,17.79,,,,62.87,37.13,,,,80.99,19.01,,,,,,,,,85.16,14.84,,,,,0,0.32,99.68,0.18,0.48,2.07,10.39,86.9,,,0.02,0.74,99.24,0.72,0.8,3.66,12.81,82.02,,,,,,,,2.02,12.96,85.02,,,0,0.25,99.75,,0.29,0.93,5.36,93.41,,,0.02,0.49,99.49,,0.88,3.42,10.34,85.36,,,,,,,,1.62,10.53,87.85,,,,,100,,,0,0.29,99.7,,,,,100,,,0.08,1.27,98.65,,,,,,,,,0.67,99.33,0.03,5,55.54,31.35,8.08,0.09,5.28,55.22,33.23,6.19,0.4,8.14,75.4,15.13,0.92,1.41,14.2,70.08,13.66,0.64
E14001067,Arundel And South Downs,48464,83461,3339,,2356,0.26,1.36,14.66,83.71,6.97,17.3,37.41,38.32,3.34,7.69,24.88,64.09,11.56,20.31,34.53,33.6,,,,,8.36,18.46,34.25,38.92,,5.01,94.99,,,0.23,28.65,71.12,,,0.02,9.73,90.26,,,0.96,32.29,66.76,,,,,,,,0.38,24.62,75,,,0.02,0.06,0.39,2.12,97.42,0.73,2.83,7.25,17.63,71.56,0.33,1.34,3.27,9.37,85.69,1.62,5.45,11.95,23.39,57.59,,,,,,0.93,3.86,9.68,23.22,62.31,,0.02,0.19,1.58,98.21,0.14,1.12,4.49,15.26,78.99,0,0.42,2.23,9.31,88.04,0.24,2.07,8.54,23.9,65.26,,,,,,0.13,1.49,6.32,21.77,70.29,,,0,0.03,99.97,0.01,0.04,0.29,1.65,98,,,0.02,0.91,99.07,0.03,0.09,0.57,3.56,95.75,,,,,,,0.04,0.72,4.03,95.2,15.94,25.22,29.83,28.08,0.93,30.77,32.41,21.87,13.25,1.71,36.06,28.67,27.26,8,,56.6,27.95,12.56,2.89,0
E14001068,Ashfield,45790,9921,1071,93,554,,0.01,7.94,92.06,0.57,3.75,39.69,55.99,0.14,0.52,13.12,86.21,2.24,6.63,38.38,52.75,1.08,2.15,37.63,59.14,3.07,7.94,36.64,52.35,,78.36,21.64,,,0.01,90.6,9.39,,,,76.96,23.04,,,,95.52,4.48,,,,100,,,,,99.1,0.9,,,,,0,0.02,99.98,0.04,0.09,0.68,7.11,92.08,,0.11,0.29,2.24,97.36,0.37,1.21,3.08,14.19,81.14,,,2.15,13.98,83.87,0.72,2.17,5.6,16.97,74.55,,,,0.02,99.98,,0.04,0.24,3.54,96.18,,,0.32,2.07,97.61,,0.47,2.61,12.51,84.41,,,2.15,9.68,88.17,,0.9,5.23,16.79,77.08,,,,,100,,,,0.02,99.98,,,,0.03,99.97,,,,0.84,99.16,,,,,100,,,,1.44,98.56,0,1.25,11.96,36.56,50.23,0.67,7.93,19.3,43.63,28.46,0.3,3.35,38.81,44.55,12.99,5.1,11.36,44.65,31.81,7.08
E14001069,Ashford,47825,22713,907,261,945,0.13,0.79,10.69,88.38,3.97,11.03,34.71,50.28,2.54,7.7,20.33,69.42,4.08,9.26,32.64,54.02,4.98,3.83,25.67,65.52,2.33,4.87,30.48,62.33,,8.96,91.04,,,0.13,40.44,59.42,,,0.01,27.57,72.42,,,0.11,44.98,54.91,,,,45.98,54.02,,,,46.35,53.65,,,0.08,0.05,0.19,1,98.67,0.61,1.44,3.87,11.8,82.28,1.25,1.87,2.82,7.66,86.4,1.1,3.53,4.52,13.56,77.29,,3.07,4.6,10.73,81.61,,1.16,2.43,13.54,82.86,,0.1,0.08,1.03,98.79,0.12,0.78,2.87,9.73,86.5,0,1.82,2.29,8.17,87.71,0.11,1.1,3.97,15.44,79.38,,,5.36,6.13,88.51,,,2.22,11.64,86.14,,,0,0.06,99.94,0.08,0.05,0.12,1,98.75,,,0.09,1.12,98.79,,,0.33,1.76,97.91,,,,,100,,,,0.63,99.37,4.75,7.33,21.75,52.72,13.45,28.68,16.61,24.75,23.39,6.57,7.4,25.44,39.52,24.51,3.12,38.65,23.32,26.66,10.23,1.14
E14001070,Ashton-under-lyne,49873,3000,446,67,355,,0.01,0.06,99.92,0.07,0.41,12.64,86.89,0.07,0.2,1.97,97.77,,0.45,15.7,83.86,,,13.43,86.57,,0.56,14.65,84.79,,,100,,,0.01,12.33,87.66,,,,0.6,99.4,,,,17.26,82.74,,,,11.94,88.06,,,,14.65,85.35,,,,,0.01,0.08,99.92,,0.01,0.14,0.88,98.97,,,0.17,0.63,99.2,,,1.12,1.57,97.31,,,,,100,,,1.41,1.97,96.62,,,,0.03,99.97,,0.01,0.05,0.29,99.66,,,,0.43,99.57,,,0.45,0.9,98.65,,,,,100,,,0.56,1.13,98.31,,,,,100,,,0.01,0.03,99.97,,,,,100,,,,0.22,99.78,,,,,100,,,,0.28,99.72,,0.06,0.32,3.79,95.83,0.03,0.2,0.8,6.3,92.67,0.06,1.68,13.59,33.04,51.64,0.33,2.33,13.73,30.73,52.87
E14001071,Aylesbury,50100,19635,1092,,596,0.01,0.03,1.47,98.49,1.04,2.19,22.12,74.65,0.95,2.4,7.3,89.35,1.37,4.4,26.65,67.58,,,,,1.17,3.19,26.51,69.13,,1.47,98.53,,,0.01,21.94,78.05,,,,5.88,94.12,,,0.09,31.68,68.22,,,,,,,,,27.52,72.48,,,,0.01,0.01,1.31,98.67,0.14,0.5,2.2,13.12,84.03,0.11,0.28,0.81,3.89,94.92,0.37,1.01,3.75,16.85,78.02,,,,,,,0.5,4.7,18.79,76.01,,,0.01,0.18,99.81,0.01,0.12,1,6,92.88,,0.08,0.42,1.3,98.2,0.09,0.37,1.65,9.16,88.74,,,,,,,,1.17,8.05,90.77,,,,,100,,0,0.01,0.44,99.54,,,0.01,0.11,99.88,,0.09,0.09,0.27,99.54,,,,,,,,,0.17,99.83,0.31,14.84,16.97,34.37,33.51,4.47,43.75,30.48,13.17,8.13,6.93,23.02,34.11,28.19,7.76,21.49,54.01,16.32,6.81,1.37
E14001072,Banbury,48431,51265,2304,238,1432,0.06,0.2,9.67,90.07,3.27,6.51,33.13,57.1,1.2,1.81,16.64,80.35,3.43,7.38,30.99,58.2,,0.84,12.18,86.97,2.16,4.47,28.63,64.73,,6.92,93.08,,,0.04,24.18,75.78,,,0.01,13.31,86.68,,,0.04,32.94,67.01,,,,0.42,99.58,,,,27.79,72.21,,,,0.02,0.21,1.27,98.49,0.45,1.39,5.88,9.78,82.5,0.16,0.35,0.96,3.57,94.96,0.69,2.13,5.16,12.8,79.21,,,,2.1,97.9,0.14,0.7,2.58,10.47,86.1,,,0.18,1.13,98.69,0.01,0.78,4.25,9.43,85.53,0.01,0.17,0.8,2.9,96.12,,1.09,4.69,10.2,84.03,,,,,100,,0.21,1.54,8.24,90.01,,,,0,100,,0,0.22,1.16,98.62,,,0.02,0.16,99.82,,,0.3,1.17,98.52,,,,,100,,,,0.21,99.79,7.59,16.72,21.37,11.56,42.75,19.81,31.56,32.38,11.7,4.55,12.37,25.21,26.34,23.99,12.09,33.51,40.09,21.1,3.83,1.47
E14001073,Barking,51807,1922,257,,245,,0.01,0.09,99.9,,1.09,5.49,93.43,,0.05,1.51,98.44,,,5.84,94.16,,,,,,,6.12,93.88,,,100,,,,3.47,96.53,,,,,100,,,,4.28,95.72,,,,,,,,,4.49,95.51,,,,,,,100,,,,0.04,99.96,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,0.03,99.97,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,9.81,90.19,,,,12.38,87.62,,,2.22,33.45,64.33,,,3.02,31.37,65.61
E14001074,Barnsley North,51832,7664,789,72,548,,,2.86,97.14,1,4.72,31.2,63.07,,0.48,6.42,93.1,0.89,3.93,30.29,64.89,,1.39,37.5,61.11,0.73,2.92,34.49,61.86,,3.96,96.04,,,,22.68,77.32,,,,4.4,95.6,,,,22.81,77.19,,,,4.17,95.83,,,,20.8,79.2,,,,,,0.03,99.97,,0.06,1.72,7.35,90.87,,,0.03,2.04,97.94,,,0.89,9.13,89.99,,,,18.06,81.94,,,0.73,12.23,87.04,,,,0.03,99.97,,,0.62,6.57,92.81,,,0.01,2,97.99,,,0.51,7.35,92.14,,,,11.11,88.89,,,0.36,9.67,89.96,,,,,100,,,,0.03,99.97,,,,0.01,99.99,,,,1.14,98.86,,,,,100,,,,1.64,98.36,0.03,3.06,22.24,26.08,48.59,2.21,6.6,27.62,28.63,34.94,1.25,22.42,26.61,30.02,19.7,6.2,25.13,32.03,27.62,9.02
E14001075,Barnsley South,51424,7682,831,73,611,,,3.44,96.56,0.9,4.54,34.72,59.83,0.03,0.27,6.46,93.24,0.96,5.05,29,64.98,2.74,4.11,28.77,64.38,0.49,4.58,26.51,68.41,,53.24,46.76,,,,84.09,15.91,,,,46.04,53.96,,,,76.17,23.83,,,,79.45,20.55,,,,75.94,24.06,,,,,,0.2,99.8,0,0.31,1.48,18.43,79.77,,,0.05,2.25,97.7,,0.84,2.17,18.41,78.58,,,,1.37,98.63,,,1.31,15.55,83.14,,,,0.13,99.87,,0,1.03,16.38,82.58,,,,2.1,97.9,,,1.68,15.88,82.43,,,,,100,,,0.33,12.44,87.23,,,,,100,,,,0.2,99.8,,,,0.01,99.99,,,,2.05,97.95,,,,,100,,,,1.15,98.85,0.3,14.13,31.79,37.96,15.82,0.39,10.1,31.41,45.81,12.29,4.01,33.09,37.95,18.7,6.26,6.09,26.28,41.32,25.05,1.26
E14001076,Barrow And Furness,52626,59553,1654,,1561,0.7,1.83,11.85,85.62,4.85,10.43,27.24,57.49,17.17,8.17,16.19,58.47,14.51,16.2,35.97,33.31,,,,,12.94,16.21,36.84,34.02,0.61,12.39,87,,,1.5,27.04,71.46,,,12.23,31.07,56.7,,,7.19,35.79,57.01,,,,,,,,7.56,33.18,59.26,,,0.17,0.52,0.48,5.17,93.66,1.46,3.59,6.13,17.91,70.92,10.22,7.02,5.4,8.96,68.4,3.93,5.62,11.61,32.53,46.31,,,,,,1.67,5.77,12.17,31.97,48.43,0.11,0.25,0.4,2.23,97.02,0.53,2,6.4,8.09,82.98,7.09,5.78,5.83,8.88,72.41,0.42,4.23,9.61,23.52,62.21,,,,,,0.38,2.05,9.87,23.64,64.06,0.01,0.11,0.13,0.27,99.48,0.17,0.31,0.57,2.23,96.73,2.7,2.92,3.51,3.86,87.02,,,0.67,8.34,90.99,,,,,,,,0.38,6.79,92.83,16.65,15.13,11.58,28.58,28.05,54.73,31.92,6.27,4.82,2.26,23.25,13.86,27.96,22.19,12.74,67.81,24.3,4.74,2.27,0.88
E14001077,Basildon And Billericay,48959,6186,551,,414,,,0.57,99.43,0.23,2.03,18.19,79.55,0.02,0.08,3.36,96.54,0.36,2.36,24.32,72.96,,,,,,2.17,28.74,69.08,,0.04,99.96,,,,4.32,95.68,,,,0.78,99.22,,,,12.16,87.84,,,,,,,,,14.98,85.02,,,,,,,100,,0.01,0.57,4.56,94.87,,,0.02,0.11,99.87,,,0.18,7.08,92.74,,,,,,,,0.24,8.7,91.06,,,,,100,,,0,1.47,98.53,,,,0.08,99.92,,,,1.81,98.19,,,,,,,,,2.42,97.58,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,10.19,13.56,18.29,57.95,,11.95,15.83,27.04,45.18,0.36,20.81,21.08,35.69,22.05,1.49,25.65,31.46,29.13,12.27
E14001078,Basingstoke,50025,7819,465,58,408,0,0.02,1.2,98.78,0.24,1.07,18.96,79.74,0.08,0.6,4.31,95.01,4.3,4.3,13.33,78.06,,1.72,24.14,74.14,,0.98,13.24,85.78,,0.14,99.86,,,,10.92,89.08,,,,0.59,99.41,,,,13.76,86.24,,,,1.72,98.28,,,,11.03,88.97,,,,,0,0.03,99.97,0.04,0.04,0.09,5.07,94.75,,,0.06,0.64,99.3,0.22,0.65,2.15,5.59,91.4,,,,1.72,98.28,,,,2.21,97.79,,,,0,100,,0.03,0.06,4.15,95.75,,,,0.37,99.63,,0.22,0.86,5.16,93.76,,,,1.72,98.28,,,,1.23,98.77,,,,,100,,,,0.01,99.99,,,,,100,,,,0.22,99.78,,,,,100,,,,,100,2.2,4.4,44.28,43.71,5.41,28.07,20.05,32.05,18.03,1.79,9.41,22.87,38.4,27.65,1.67,52.94,13.62,20.87,12.01,0.56
E14001079,Bassetlaw,53981,39826,2404,63,1709,0.07,1.47,9.3,89.15,5.34,10.81,41.43,42.42,2.17,3.85,17.23,76.74,9.23,13.48,35.82,41.47,,,34.92,65.08,6.67,13.11,37.8,42.42,,30.04,69.96,,,0.06,56.32,43.62,,,0,24.06,75.94,,,1.58,54.78,43.64,,,,53.97,46.03,,,,55.3,44.7,,,,0.01,0.02,0.41,99.56,0.93,1.62,3.85,13.48,80.12,,0.59,1.46,3.99,93.96,1.16,5.24,6.11,15.81,71.67,,,3.17,4.76,92.06,0.41,3.63,6.9,14.39,74.66,,,0.01,0.34,99.65,0.01,1.48,2.46,10.38,85.68,,0.01,1.08,4.2,94.71,0.46,2.7,5.62,15.6,75.62,,,3.17,4.76,92.06,,0.94,5.91,15.33,77.82,,,,,100,,0.01,0.02,0.34,99.64,,,,0.06,99.94,,0.29,0.75,1.71,97.25,,,,,100,,,,1.11,98.89,4.84,10.03,33.66,39.3,12.17,10.74,33.04,40.53,12.58,3.12,14.26,18.01,42.01,23.19,2.52,29.39,37.21,28.17,4.68,0.54
E14001080,Bath,49375,7354,581,,555,0.03,0.15,1.28,98.54,0.3,1.52,14.87,83.31,0.92,1.7,8.31,89.07,,2.75,11.36,85.89,,,,,,2.88,11.89,85.23,,0.2,99.8,,,0.04,4.76,95.2,,,0.01,5.53,94.45,,,,5.16,94.84,,,,,,,,,5.41,94.59,,,0.01,0.03,0.03,0.11,99.83,0.27,0.46,0.66,4.01,94.6,0.45,1.06,2.28,3.52,92.68,,0.17,2.24,5.68,91.91,,,,,,,0.18,2.34,5.95,91.53,,0,0.05,0.03,99.92,0.03,0.15,0.57,1.25,97.99,,0.52,2.2,3.13,94.15,,,0.52,2.75,96.73,,,,,,,,0.54,2.88,96.58,,,0,0.02,99.98,0,0.01,0.05,0.1,99.84,,,0.19,1.36,98.45,,,,0.17,99.83,,,,,,,,,0.18,99.82,0.26,12.54,85.11,2.09,,9.52,26.99,55.17,8.32,,0.96,40.77,58.27,,,16.77,50.12,32.7,0.41,
E14001081,Battersea,63737,934,278,,221,,,0.75,99.25,,,11.8,88.2,,,2.68,97.32,,,16.19,83.81,,,,,,,16.74,83.26,,,100,,,,0.24,99.76,,,,,100,,,,,100,,,,,,,,,,100,,,,,,,100,,,,0,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,0,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,1.67,98.33,,,,2.57,97.43,,,0.34,19.42,80.24,,,0.32,17.67,82.01
E14001082,Beaconsfield,44384,16539,1014,457,1172,0,0.13,2.44,97.43,1.04,4.09,23.81,71.06,0.52,2.21,14.8,82.47,0.79,3.45,23.96,71.79,,0.22,28.45,71.33,0.68,2.56,25.77,70.99,,0.43,99.57,,,,9.73,90.27,,,,2.33,97.67,,,,8.97,91.03,,,,12.04,87.96,,,,9.04,90.96,,,,,,0.19,99.81,0.16,0.42,0.38,7.56,91.48,,,0.08,3.43,96.49,,0.49,0.89,9.47,89.15,,,,15.97,84.03,,0.43,0.77,12.12,86.69,,,,0.19,99.81,,0.23,0.5,5.06,94.2,,,0.01,3.31,96.69,,,1.18,7.1,91.72,,,,14,86,,,1.02,9.73,89.25,,,,,100,,,,0.19,99.81,,,,0.11,99.89,,,,0.79,99.21,,,,0.88,99.12,,,,0.6,99.4,0,7.83,33.66,29.59,28.92,0.21,7.07,25.56,36.97,30.19,0.65,34.51,29.72,20.77,14.36,4.43,30.7,26.42,23.93,14.52
E14001083,Beckenham And Penge,51035,2289,382,,307,,,0.41,99.59,,2.29,18.9,78.82,,,0.44,99.56,,1.57,17.54,80.89,,,,,,1.63,12.7,85.67,,0.03,99.97,,,,3.76,96.24,,,,0.04,99.96,,,,10.47,89.53,,,,,,,,,5.21,94.79,,,,,,,100,,,,0.87,99.13,,,,,100,,,,0.52,99.48,,,,,,,,,0.65,99.35,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,0.36,12.34,87.3,,,0.22,10.35,89.43,,0.85,13.8,50.57,34.79,,1.18,12.63,47.58,38.62
E14001084,Bedford,49598,3154,446,,338,,,0,100,0.08,0.42,11.12,88.38,,,0.41,99.59,,,13,87,,,,,,,10.65,89.35,,0.02,99.98,,,,7.73,92.27,,,,0.13,99.87,,,,8.74,91.26,,,,,,,,,8.28,91.72,,,,,,,100,,,0.57,3.78,95.65,,,,,100,,,1.12,3.59,95.29,,,,,,,,,2.37,97.63,,,,,100,,,,1.54,98.46,,,,,100,,,,2.47,97.53,,,,,,,,,1.48,98.52,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,5.42,13.94,34.59,46.05,,3.84,10.88,34.24,51.05,0.18,15.84,36.86,37.41,9.71,0.1,13.32,29.49,38.93,18.17
E14001085,Bermondsey And Old Southwark,61606,852,336,,255,,,,100,,,7.79,92.21,,,,100,,,6.85,93.15,,,,,,,8.63,91.37,,,100,,,,0.64,99.36,,,,,100,,,,1.19,98.81,,,,,,,,,1.18,98.82,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,4.24,95.76,,,,4.23,95.77,,,,5.76,94.24,,,,6.69,93.31
E14001086,Bethnal Green And Stepney,60694,685,306,,156,,,,100,,,6.49,93.51,,,,100,,,6.54,93.46,,,,,,,7.05,92.95,,,100,,,,0.14,99.86,,,,,100,,,,,100,,,,,,,,,,100,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,1.07,98.93,,,,1.02,98.98,,,,6.4,93.6,,,,6.28,93.72
E14001087,Beverley And Holderness,45236,71042,2488,,1275,0.02,0.97,13.32,85.68,5.86,13.7,31.33,49.12,0.15,1.68,14.16,84.01,4.98,12.98,34.24,47.79,,,,,3.53,10.82,34.75,50.9,,5.63,94.37,,,0.11,27.27,72.62,,,,8.55,91.45,,,,40.31,59.69,,,,,,,,,30.51,69.49,,,0.02,0.05,0.15,3.06,96.72,1.04,2.8,9.25,23.64,63.27,0.01,0.05,0.28,2.06,97.61,0.36,1.77,8.88,26.25,62.74,,,,,,,0.86,8.16,25.41,65.57,,0.02,0.11,1.4,98.47,0.04,1.26,4.6,16.03,78.07,,0.01,0.18,1.36,98.45,,0.44,4.34,23.59,71.62,,,,,,,,1.88,23.61,74.51,,,,,100,0.02,0,0.17,1.85,97.96,,,,0.01,99.99,,,0.16,0.68,99.16,,,,,,,,,0.63,99.37,4.82,19.47,47.7,25.16,2.85,6.14,25.21,49.75,15.23,3.67,11.11,30.78,47.49,10.6,0.03,17.11,46.51,31.38,4.32,0.67
E14001088,Bexhill And Battle,46763,46941,2572,,1543,0.18,1.68,9.24,88.9,3.03,11.47,27.07,58.42,4.02,11.9,22.68,61.4,9.1,21.89,29.47,39.54,,,,,3.37,16.85,30.78,49,0.02,4.24,95.73,,,0.36,25.04,74.6,,,0.16,14.06,85.78,,,0.93,36.9,62.17,,,,,,,,,25.99,74.01,,,0.01,0.09,0.37,1.59,97.95,0.66,2.12,7.02,13.59,76.61,0.27,1.47,4.38,11.7,82.19,1.52,5.95,12.64,20.57,59.33,,,,,,0.65,2.33,7.84,19.38,69.8,0,0.06,0.22,1.67,98.05,0.08,1.43,5.19,12.29,81,0.04,0.72,3.72,12.78,82.74,0.16,3.34,12.21,21.54,62.75,,,,,,,1.36,5.64,19.44,73.56,,,0.01,0.03,99.97,0.01,0.08,0.31,1.56,98.04,,,0.01,0.89,99.09,,0.04,0.43,4.24,95.3,,,,,,,,0.13,1.43,98.44,4.05,18.32,44.6,26.62,6.4,17.82,39.43,28.25,10.78,3.71,9.77,30.81,47.03,11.17,1.22,34.88,40.15,21.45,3.32,0.2
E14001089,Bexleyheath And Crayford,42033,2272,258,,242,,0.01,0.42,99.57,0.06,0.75,18.89,80.3,0.04,0.7,1.28,97.98,,2.33,28.29,69.38,,,,,,2.48,28.1,69.42,,0.08,99.92,,,0.04,13.6,86.36,,,,0.18,99.82,,,,17.44,82.56,,,,,,,,,18.6,81.4,,,,,,0.07,99.93,,,0.05,1.01,98.94,,,0.13,0.97,98.9,,,1.16,1.55,97.29,,,,,,,,1.24,1.65,97.11,,,,,100,,,0.04,0.29,99.67,,,,0.13,99.87,,,,1.55,98.45,,,,,,,,,1.65,98.35,,,,,100,,,,0.07,99.93,,,,,100,,,,,100,,,,,,,,,,100,,,1.38,19.4,79.23,,,1.41,16.02,82.57,,0.67,9.28,44.1,45.95,0.31,0.84,8.23,44.89,45.73
