parl_const,parl_const_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4
E14001461,Scarborough And Whitby,57305,73878,1925,,1466,0.77,2.56,7.07,89.6,2.95,5.94,29.55,61.57,14.87,14.7,16.7,53.72,5.51,12,33.25,49.25,,,,,6.34,12.21,32.81,48.64,0.77,3.88,95.36,,,2.17,15.24,82.59,,,7.3,24.74,67.96,,,1.61,24.57,73.82,,,,,,,,2.11,26.6,71.28,,,0.27,1.28,0.77,1.82,95.86,1.1,2.81,1.95,6.45,87.7,5.51,8,8.7,10.32,67.47,0.57,2.39,6.13,19.32,71.58,,,,,,0.61,2.46,6.55,19.99,70.4,0.16,0.65,0.84,2.13,96.22,0.63,1.96,1.94,5.82,89.64,3.32,5.52,6.21,15.15,69.81,0.26,0.99,3.58,18.7,76.47,,,,,,0.34,1.16,3.48,19.78,75.24,0.02,0.15,0.39,0.55,98.89,0.26,1.21,0.8,1.8,95.93,0.56,1.92,3.23,4.5,89.8,,0.16,0.73,3.38,95.74,,,,,,,0.2,0.95,3.27,95.57,8.12,9.03,36.19,31.85,14.81,45.14,20.13,24.28,9.63,0.83,10.53,15.87,50.21,22.98,0.4,56.04,20.41,21.14,2.31,0.1
E14001462,Scunthorpe,50650,28019,1497,234,834,0.07,0.46,3.97,95.49,2.54,5.92,26.59,64.95,0.09,0.96,10.65,88.3,3.74,10.82,26.59,58.85,,1.71,15.38,82.91,,2.76,24.22,73.02,,2.46,97.54,,,,18.24,81.76,,,,3.49,96.51,,,,19.24,80.76,,,,2.56,97.44,,,,9.11,90.89,,,,,0.01,2.02,97.97,0.43,1,4.58,6.4,87.58,,0.01,0.1,1.19,98.7,0.13,1.54,5.48,13.76,79.09,,,0.43,5.98,93.59,,,0.6,6.83,92.57,,,0.01,0.32,99.67,,0.68,2.42,7.87,89.03,,,0.05,0.67,99.28,,0.47,3.41,13.69,82.43,,,,4.27,95.73,,,,5.88,94.12,,,,,100,,,0.01,0.82,99.17,,,,,100,,,0.07,0.94,99,,,,,100,,,,,100,3.24,8.86,7.11,18.75,62.04,4.11,13.04,33.1,24.45,25.3,6.59,11.92,17.44,31.19,32.86,12.77,30.12,33.7,17.28,6.14
E14001463,Sefton Central,43468,8792,630,103,516,,0.1,1.67,98.22,1.65,3.06,26.08,69.22,0.6,2.25,7.07,90.07,,2.38,22.22,75.4,,2.91,6.8,90.29,,2.71,18.22,79.07,,0.63,99.37,,,0,15.34,84.66,,,,6.37,93.63,,,,21.43,78.57,,,,4.85,95.15,,,,14.34,85.66,,,,,0.01,0.05,99.94,0.02,0.19,2.37,15.22,82.19,,0.01,1.92,3.24,94.82,,0.16,0.95,11.27,87.62,,,,1.94,98.06,,,0.97,7.56,91.47,,,,0.01,99.99,,0.03,0.27,8.35,91.35,,,0.01,3.29,96.7,,0.16,0.32,8.41,91.11,,,,,100,,,0.19,5.23,94.57,,,,,100,,,0,0.03,99.97,,,,0.15,99.85,,,,,100,,,,,100,,,,,100,0.45,13.04,32.37,41.01,13.14,4.53,13.38,26.42,36.56,19.12,12.56,36.59,25.81,23.12,1.92,19.89,37.52,22.99,13.73,5.87
E14001464,Selby,48711,50548,2104,257,1847,0.1,1.71,17.91,80.29,8.3,17.05,39,35.66,0.13,2.9,13.5,83.47,7.79,10.98,34.79,46.44,,4.67,31.52,63.81,8.39,11.1,32.59,47.92,,8.07,91.93,,,0.02,39.11,60.87,,,,4.6,95.4,,,,45.77,54.23,,,,16.34,83.66,,,,40.39,59.61,,,,,0.01,1.83,98.16,0.71,2.3,8.9,20.04,68.05,,0.02,0.13,1.1,98.75,0.14,1.52,5.8,16.02,76.52,,,0.78,8.95,90.27,0.16,1.73,6.28,15.92,75.91,,,0.01,1.51,98.48,,0.84,4.1,21.35,73.71,,,0.1,0.95,98.95,,0.38,2.38,15.4,81.84,,,,5.06,94.94,,0.43,2.49,15.38,81.7,,,,,100,,,0.01,1.78,98.21,,,,0,100,,,,0.43,99.57,,,,,100,,,,0.43,99.57,2.66,22.53,40.82,15.38,18.6,5.03,25.01,35.8,24.34,9.82,12.84,45.17,26.73,14,1.26,20.55,45.58,27.76,5.47,0.63
E14001465,Sevenoaks,44614,25344,1436,629,1546,0.27,0.71,4.49,94.53,3,9.19,23.78,64.03,2.73,6.56,15.94,74.76,9.12,15.11,24.23,51.53,,8.9,30.37,60.73,2.07,10.41,28.07,59.44,,1.7,98.3,,,0.23,19.05,80.72,,,0.01,6.26,93.73,,,0.77,22.91,76.32,,,,10.17,89.83,,,,11.45,88.55,,,0.01,0.16,0.37,2.27,97.19,0.76,2.2,5.18,20.29,71.56,0.36,1.6,3.21,8.5,86.32,2.3,6.62,8.64,19.15,63.3,,0.64,7.47,18.6,73.29,0.71,1.55,7.24,18.56,71.93,,0.01,0.2,0.87,98.92,0.12,0.62,2.64,14.03,82.59,0.01,0.16,2.05,7,90.79,0.49,2.16,6.96,16.85,73.54,,,1.91,19.24,78.86,,0.84,2.13,16.36,80.66,,,,0.04,99.96,0.01,0.09,0.29,1.17,98.44,,,,0.41,99.59,0.14,0.28,1.39,3.2,94.99,,,,2.07,97.93,,,,1.94,98.06,10.66,13.36,31.01,37.89,7.08,21.76,17.48,27.39,26.92,6.45,34.02,18.88,19.34,25.82,1.95,45.69,18.54,23.74,10.22,1.81
E14001466,Sheffield Brightside And Hillsborough,50007,2695,444,33,276,,,,100,,,5.4,94.6,,,0.04,99.96,,0.23,10.14,89.64,,,6.06,93.94,,,7.97,92.03,,85.25,14.75,,,,96.4,3.6,,,,80.59,19.41,,,,93.24,6.76,,,,100,,,,,95.65,4.35,,,,,,,100,,,,0.18,99.82,,,,,100,,,,2.03,97.97,,,,12.12,87.88,,,,1.81,98.19,,,,,100,,,,0.07,99.93,,,,,100,,,,1.58,98.42,,,,12.12,87.88,,,,1.45,98.55,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,0,0.79,6.46,92.75,0.11,0.71,1.26,6.86,91.06,0.04,2.47,16.48,47.96,33.06,1.71,2.52,12.95,40.89,41.93
E14001467,Sheffield Central,47853,1378,316,,217,,,,100,0.3,2.27,7.03,90.39,,,,100,,,1.9,98.1,,,,,,,0.92,99.08,,53.02,46.98,,,,79.68,20.32,,,,51.45,48.55,,,,83.23,16.77,,,,,,,,,82.03,17.97,,,,,,,100,,,0.13,0.81,99.06,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,0.83,99.17,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,1.42,98.58,,,,1.89,98.11,0.01,1.04,10.16,49.35,39.43,0.07,1.74,11.83,43.4,42.96
E14001468,Sheffield Hallam,40834,16390,589,,422,0.12,0.48,1.06,98.33,1.58,4.04,13.01,81.37,12,10.22,14.14,63.64,9.68,12.22,25.47,52.63,,,,,2.84,9.48,30.09,57.58,0.19,44.1,55.72,,,0.48,77.42,22.1,,,5.36,51.9,42.75,,,1.87,74.36,23.77,,,,,,,,,66.82,33.18,,,0.03,0.13,0.32,0.28,99.24,0.37,0.91,0.91,7.57,90.24,5.63,5.3,5.25,8.03,75.78,3.9,4.58,6.96,15.45,69.1,,,,,,0.47,2.61,3.79,16.59,76.54,0,0.09,0.2,0.4,99.3,0.07,0.61,0.76,6.69,91.86,3.12,4.11,5.18,9.01,78.57,1.7,2.72,5.6,15.79,74.19,,,,,,,0.71,4.5,13.74,81.04,,,0.01,0.14,99.84,0.02,0.13,0.31,0.24,99.29,0.9,0.84,1.45,3.26,93.54,1.19,0.34,0.34,2.72,95.42,,,,,,,,,2.13,97.87,0.78,3.75,15.05,29.38,51.04,24.67,17.36,22.12,19.46,16.39,2.87,21.65,33.56,30.48,11.44,37.08,27.61,24.06,8.37,2.87
E14001469,Sheffield Heeley,52415,2941,482,,281,,,0.02,99.98,0,0.69,9.56,89.75,,0.41,1.19,98.4,,2.49,7.88,89.63,,,,,,2.85,7.83,89.32,,46.08,53.92,,,,65.73,34.27,,,,46.96,53.04,,,0.21,68.26,31.54,,,,,,,,,72.6,27.4,,,,,,0.01,99.99,,,0.02,5.24,94.74,,,,0.51,99.49,,,1.66,3.94,94.4,,,,,,,,1.42,6.41,92.17,,,,,100,,,,4.31,95.69,,,,0.31,99.69,,,0.21,4.98,94.81,,,,,,,,,7.12,92.88,,,,,100,,,,0.01,99.99,,,,,100,,,,,100,,,,,,,,,,100,,0.17,1.82,19.96,78.06,0.14,0.71,4.32,20.06,74.77,1.52,8.63,26.74,39.85,23.25,2.86,11.66,23.43,37.91,24.14
E14001470,Sheffield South East,50211,4663,749,45,454,,0.02,3.18,96.81,0.67,3.8,30.37,65.17,0.02,0.69,7.14,92.15,0.13,3.47,29.91,66.49,,,33.33,66.67,0.22,1.76,32.38,65.64,,54.59,45.41,,,0.12,84.46,15.42,,,,49.95,50.05,,,,77.84,22.16,,,,51.11,48.89,,,,66.08,33.92,,,,,0.02,0.12,99.87,,0.05,0.2,3.92,95.83,,,0.3,1.39,98.31,,,0.93,9.61,89.45,,,,,100,,,0.66,10.79,88.55,,,,0.03,99.97,,0.05,0.03,2.49,97.43,,,,1.18,98.82,,,,8.68,91.32,,,,,100,,,,10.57,89.43,,,,,100,,,0.02,0.12,99.87,,,,0.04,99.96,,,,0.8,99.2,,,,,100,,,,1.32,98.68,,0.2,1.3,12.57,85.93,0.28,0.88,2.53,15.27,81.04,0.44,2.41,21.06,46.28,29.81,2.14,4.01,18.57,38.67,36.61
