Location,Technology,Coverage type,Rurality,MNO,Coverage percentage,Coverage volume,Date
Scotland,4G,Premises (Outdoor),Total,None,0.06,1626,Sep-24
Northern Ireland,4G,Premises (Indoor),Total,None,1.23,10834,Sep-24
Northern Ireland,4G,Premises (Indoor),Total,EE,86.71,766608,Sep-24
Northern Ireland,4G,Premises (Indoor),Total,All,74.30,656860,Sep-24
Northern Ireland,4G,Premises (Indoor),Total,TF,92.42,817075,Sep-24
Northern Ireland,4G,Premises (Indoor),Total,At least one,98.77,873247,Sep-24
Northern Ireland,4G,Premises (Indoor),Total,VO,92.89,821236,Sep-24
Northern Ireland,4G,Premises (Indoor),Total,H3,87.89,777007,Sep-24
Wales,4G,Premises (Indoor),Total,VO,92.85,1452904,Sep-24
Wales,4G,Premises (Indoor),Total,TF,92.39,1445684,Sep-24
Wales,4G,Premises (Indoor),Total,All,80.38,1257739,Sep-24
Wales,4G,Premises (Indoor),Total,At least one,98.98,1548829,Sep-24
Wales,4G,Premises (Indoor),Total,H3,89.66,1402888,Sep-24
Wales,4G,Premises (Indoor),Total,EE,94.67,1481301,Sep-24
Wales,4G,Premises (Indoor),Total,None,1.02,15923,Sep-24
